EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,7,11,6,8,8,7,6,9,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
9,7,11,6,9,9,7,6,9,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
9,7,11,6,8,9,8,7,8,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
8,7,10,6,8,10,9,9,8,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
7,8,10,6,8,9,9,8,8,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
7,9,8,6,7,10,8,8,8,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
6,9,8,6,7,8,8,7,8,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
5,10,9,8,7,9,8,6,8,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
6,10,7,8,8,8,8,6,7,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
6,10,8,9,8,8,8,7,9,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
7,9,6,9,7,8,7,8,6,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
