EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,6,3,3,5,7,5,5,12,esimene; sõna; raha; koolipäev; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; tarand; õppevahend
5,6,9,3,3,6,7,6,5,12,esimene; sõna; raha; koolipäev; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; tarand; õppevahend
5,6,10,3,3,6,8,7,5,12,esimene; sõna; raha; koolipäev; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; tarand; õppevahend
5,6,8,3,3,6,8,11,5,12,esimene; sõna; raha; koolipäev; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; tarand; õppevahend
5,5,6,3,4,4,7,10,5,12,esimene; sõna; raha; koolipäev; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; tarand; õppevahend
3,5,7,3,6,6,5,8,6,12,esimene; sõna; raha; koolipäev; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; tarand; õppevahend
3,5,7,5,7,3,5,8,6,12,esimene; sõna; raha; koolipäev; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; tarand; õppevahend
2,5,8,5,7,3,4,7,7,12,esimene; sõna; raha; koolipäev; tarand; mari; aabits; kadakas; stiiliküsimus; lugu; tahv; õppevahend
2,6,8,7,5,5,3,8,7,12,esimene; sõna; raha; koolipäev; tarand; mari; aabits; kadakas; stiiliküsimus; lugu; tahv; õppevahend
3,5,8,6,5,4,2,8,6,12,esimene; sõna; raha; koolipäev; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; tarand; õppevahend
3,5,7,7,4,4,2,5,5,12,mari; aabits; tarand; kadakas; esimene; stiiliküsimus; raha; sõna; koolipäev; lugu; tahv; õppevahend
