EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,7,7,5,3,4,6,7,6,12,paul; darwin; toomas; rõõm; aplus; tüdimus; süü; seitse; ahnus; liialdus
4,7,7,6,3,4,6,7,6,12,paul; darwin; toomas; rõõm; aplus; tüdimus; süü; seitse; ahnus; liialdus
4,7,7,6,3,5,6,7,6,12,paul; darwin; toomas; rõõm; aplus; tüdimus; süü; seitse; ahnus; liialdus
4,6,7,6,4,3,7,7,6,12,paul; darwin; toomas; rõõm; aplus; tüdimus; süü; seitse; ahnus; liialdus
4,5,7,6,4,4,7,6,6,12,paul; darwin; toomas; rõõm; aplus; tüdimus; süü; seitse; ahnus; liialdus
4,6,8,6,5,4,6,7,6,12,paul; darwin; toomas; rõõm; aplus; tüdimus; süü; seitse; ahnus; liialdus
5,4,7,5,6,6,3,7,6,12,paul; süü; darwin; toomas; rõõm; tüdimus; aplus; seitse; ahnus; liialdus
4,5,7,6,7,8,4,8,6,12,paul; darwin; toomas; rõõm; aplus; tüdimus; süü; seitse; ahnus; liialdus
3,4,9,5,7,7,4,7,7,12,paul; süü; darwin; toomas; rõõm; tüdimus; aplus; seitse; ahnus; liialdus
4,6,8,7,6,6,5,6,9,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
3,6,7,7,6,6,5,6,9,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
