EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,11,9,6,8,7,9,9,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
7,8,11,9,6,8,7,8,9,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
6,8,11,9,6,8,8,8,9,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
7,9,11,9,6,7,8,8,8,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
7,9,7,8,8,7,9,9,8,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
7,9,6,7,9,6,9,9,8,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
7,10,7,5,8,7,9,8,7,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
8,10,5,9,8,8,8,7,8,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
8,10,5,11,8,8,9,8,10,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
8,10,6,11,8,8,10,9,10,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
8,10,7,11,7,8,10,8,8,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
