EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,5,2,1,0,3,2,4,11,viirus; kristjan; epideemia; informatsioon; port
4,4,5,2,1,0,3,2,4,11,viirus; kristjan; epideemia; informatsioon; port
4,4,4,2,3,2,3,3,4,11,viirus; kristjan; epideemia; informatsioon; port
4,4,4,2,3,3,3,3,4,11,viirus; kristjan; epideemia; informatsioon; port
4,4,4,2,3,3,4,4,4,11,viirus; kristjan; epideemia; informatsioon; port
3,5,4,2,3,4,4,4,3,11,viirus; kristjan; epideemia; informatsioon; port
1,4,5,5,3,5,5,4,3,11,viirus; kristjan; epideemia; informatsioon; port
2,5,5,5,4,5,5,4,3,11,viirus; kristjan; epideemia; informatsioon; port
2,4,5,5,4,4,4,4,2,11,viirus; kristjan; epideemia; informatsioon; port
2,5,4,5,4,4,5,4,2,11,viirus; kristjan; epideemia; informatsioon; port
2,4,4,4,3,4,4,5,2,11,viirus; kristjan; epideemia; informatsioon; port
