EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,6,6,1,6,6,6,2,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
7,4,6,6,1,6,7,6,2,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
7,4,8,6,1,5,7,6,2,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
7,4,7,6,1,5,7,7,2,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
7,4,5,6,1,7,8,7,2,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
7,4,6,6,1,6,8,8,2,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
8,5,7,6,3,5,8,7,3,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
8,4,6,2,3,5,9,4,3,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
8,5,7,2,3,5,7,6,3,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
7,6,6,2,3,4,8,5,3,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
6,6,5,1,2,3,8,5,5,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
