EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,3,0,1,1,1,2,3,19,dekoratiivne; riina; eesti; heino; aasta; autoriteet; sulev
0,2,3,0,1,1,1,3,2,19,dekoratiivne; riina; eesti; heino; aasta; autoriteet; sulev
0,1,3,0,1,2,1,5,2,19,dekoratiivne; riina; eesti; aasta; sulev; heino; autoriteet
0,1,3,0,1,3,2,5,2,19,dekoratiivne; riina; eesti; aasta; sulev; heino; autoriteet
0,1,2,0,3,3,4,6,3,19,dekoratiivne; riina; eesti; aasta; sulev; heino; autoriteet
1,1,2,1,4,4,4,6,3,19,dekoratiivne; riina; aasta; eesti; autoriteet; heino; sulev
2,1,4,2,2,4,1,5,3,19,dekoratiivne; riina; aasta; eesti; sulev; heino; autoriteet
3,1,4,2,3,5,1,3,3,19,dekoratiivne; riina; aasta; eesti; sulev; heino; autoriteet
3,1,4,2,3,6,1,5,3,19,dekoratiivne; riina; aasta; eesti; sulev; heino; autoriteet
4,1,5,2,3,5,1,5,3,19,dekoratiivne; riina; aasta; eesti; autoriteet; heino; sulev
5,1,5,4,3,4,3,2,2,19,dekoratiivne; riina; aasta; eesti; autoriteet; heino; sulev
