EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,7,8,4,8,9,8,10,13,admiral; ükssilm; heino; kadri-ann; hobune; väli; karl; riisipirukas; silver; sagrits; kuuldemäng
7,9,9,8,6,9,9,9,10,13,admiral; ükssilm; heino; kadri-ann; hobune; väli; karl; riisipirukas; silver; sagrits; kuuldemäng
7,9,9,8,7,10,9,10,10,13,admiral; ükssilm; heino; kadri-ann; hobune; väli; karl; riisipirukas; silver; sagrits; kuuldemäng
7,10,9,8,7,10,9,10,10,13,admiral; ükssilm; heino; kadri-ann; hobune; väli; karl; riisipirukas; silver; sagrits; kuuldemäng
8,10,10,9,7,10,11,11,10,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
8,11,10,9,7,11,11,11,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
9,11,11,9,9,11,10,11,10,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
8,10,11,11,8,11,10,11,10,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
8,9,11,11,8,11,10,11,11,13,admiral; ükssilm; heino; kadri-ann; hobune; väli; karl; riisipirukas; silver; sagrits; kuuldemäng
8,11,11,10,10,11,10,11,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
8,9,11,9,10,11,10,11,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
