EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,7,4,4,6,6,4,4,14,peeter; urmas; kloun; keiu; isiklik; vadi; virro; võõras; lavastaja; komme; probleem
4,4,8,3,4,9,7,6,5,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
3,4,9,3,4,9,8,6,5,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
3,4,9,3,4,9,8,7,5,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
3,4,8,3,4,11,9,7,5,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
3,4,7,7,4,11,9,9,5,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
2,4,9,7,5,10,10,8,5,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
2,4,10,7,6,10,10,9,6,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
3,4,8,7,8,9,9,10,5,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
3,4,7,7,8,10,9,7,6,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; lavastaja; võõras; komme; probleem
2,4,7,7,8,9,9,7,7,14,urmas; keiu; vadi; virro; peeter; kloun; isiklik; võõras; lavastaja; komme; probleem
