EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,5,0,1,6,6,3,3,16,estonia; klaver; teater; alo; tomson; eesti; pianiino
2,1,5,0,1,6,6,3,4,16,estonia; klaver; teater; alo; tomson; eesti; pianiino
2,1,4,0,1,6,6,3,4,16,estonia; alo; teater; tomson; eesti; pianiino; klaver
1,1,5,0,1,7,6,2,4,16,estonia; alo; teater; tomson; eesti; pianiino; klaver
1,1,4,0,2,6,6,1,4,16,estonia; alo; teater; klaver; tomson; eesti; pianiino
1,1,5,0,3,4,7,3,4,16,estonia; alo; teater; klaver; tomson; eesti; pianiino
1,1,5,1,3,4,3,3,4,16,estonia; alo; teater; tomson; eesti; pianiino; klaver
2,1,3,2,3,3,3,6,4,16,estonia; alo; teater; tomson; eesti; pianiino; klaver
2,0,5,4,2,3,2,3,3,16,estonia; alo; teater; klaver; tomson; eesti; pianiino
2,0,4,5,3,3,1,4,2,16,estonia; alo; teater; klaver; tomson; eesti; pianiino
2,0,3,4,2,2,2,4,2,16,estonia; alo; teater; tomson; eesti; pianiino; klaver
