EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,7,3,5,3,3,4,5,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
6,6,7,3,5,3,3,4,5,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
5,6,6,4,5,3,4,4,5,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
5,6,6,4,5,4,4,3,5,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
5,6,6,4,5,4,4,4,5,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
4,6,5,4,5,3,4,2,5,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
4,6,5,3,4,4,5,4,5,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
5,6,5,6,5,4,3,3,6,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
3,6,3,4,6,6,3,4,6,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
1,5,6,5,6,7,3,4,5,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
1,4,5,5,6,5,3,4,5,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
