EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,5,3,2,2,4,3,3,13,uno; sügavus; akadeemia; eesti; buldooser; vesi; toru; pauts; ekskavaator
4,4,7,3,3,2,4,3,3,13,uno; sügavus; akadeemia; eesti; buldooser; vesi; toru; pauts; ekskavaator
4,4,7,2,3,3,4,3,3,13,uno; sügavus; akadeemia; eesti; buldooser; vesi; toru; pauts; ekskavaator
3,4,8,2,3,4,4,4,3,13,uno; sügavus; akadeemia; eesti; buldooser; vesi; toru; pauts; ekskavaator
3,4,9,2,3,3,6,5,3,13,uno; sügavus; akadeemia; eesti; buldooser; vesi; toru; pauts; ekskavaator
3,4,8,3,5,4,5,6,3,13,uno; sügavus; akadeemia; eesti; buldooser; vesi; toru; pauts; ekskavaator
4,4,8,5,6,5,5,7,3,13,uno; sügavus; akadeemia; eesti; vesi; buldooser; toru; pauts; ekskavaator
4,3,7,7,6,5,5,6,3,13,uno; sügavus; akadeemia; eesti; vesi; buldooser; toru; pauts; ekskavaator
4,5,7,6,7,5,5,6,3,13,uno; sügavus; akadeemia; eesti; vesi; buldooser; toru; pauts; ekskavaator
2,5,7,5,6,5,5,7,2,13,uno; sügavus; akadeemia; eesti; buldooser; vesi; toru; pauts; ekskavaator
2,4,7,5,6,5,5,7,2,13,uno; sügavus; akadeemia; eesti; vesi; buldooser; toru; pauts; ekskavaator
