EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,2,0,1,2,3,3,3,11,mikomägi; kriitika; panso; rapla; intervjuu; teatrikool; näitleja; voldemar; teater
3,5,2,0,1,2,3,3,3,11,mikomägi; kriitika; panso; rapla; intervjuu; teatrikool; näitleja; voldemar; teater
3,5,3,0,1,3,4,4,3,11,mikomägi; kriitika; panso; rapla; intervjuu; teatrikool; näitleja; voldemar; teater
3,5,3,1,1,3,4,4,3,11,mikomägi; kriitika; panso; rapla; intervjuu; teatrikool; näitleja; voldemar; teater
3,4,3,1,1,4,4,5,3,11,mikomägi; kriitika; panso; rapla; intervjuu; näitleja; teatrikool; voldemar; teater
2,4,4,1,1,4,4,4,3,11,mikomägi; kriitika; panso; rapla; intervjuu; näitleja; teatrikool; voldemar; teater
2,4,5,3,2,5,4,3,2,11,mikomägi; kriitika; panso; rapla; intervjuu; näitleja; teatrikool; voldemar; teater
2,1,5,4,3,6,6,4,2,11,mikomägi; panso; rapla; kriitika; intervjuu; teatrikool; näitleja; voldemar; teater
2,2,2,3,3,6,3,4,3,11,mikomägi; panso; rapla; kriitika; intervjuu; näitleja; teatrikool; voldemar; teater
1,1,4,3,1,6,1,5,1,11,mikomägi; kriitika; panso; rapla; intervjuu; näitleja; teatrikool; voldemar; teater
2,2,4,4,3,5,2,5,2,11,mikomägi; kriitika; panso; rapla; intervjuu; teatrikool; näitleja; voldemar; teater
