EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,9,9,4,3,6,5,6,7,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
6,9,10,4,2,8,6,7,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
6,9,11,5,3,8,7,7,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
6,8,11,7,4,9,8,8,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
6,8,11,7,4,9,7,9,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
6,9,11,7,5,8,7,9,7,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
6,8,10,8,6,7,7,9,7,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
5,8,10,9,8,8,8,9,8,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
5,9,9,10,8,9,8,9,8,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
6,7,8,10,9,7,8,8,7,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
6,7,7,10,9,7,8,8,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
