EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,0,0,0,0,1,0,0,13,presidendi; moekunstnik
0,1,0,0,0,0,1,0,0,13,presidendi; moekunstnik
0,1,0,0,0,0,1,0,0,13,presidendi; moekunstnik
0,1,0,0,0,0,1,0,0,13,presidendi; moekunstnik
0,1,0,0,0,0,1,0,0,13,presidendi; moekunstnik
0,1,0,0,0,0,1,0,0,13,presidendi; moekunstnik
0,1,0,0,0,0,1,0,1,13,presidendi; moekunstnik
0,0,0,0,0,0,1,1,1,13,presidendi; liivia
0,0,0,0,0,0,0,1,1,13,presidendi; liivia
0,0,0,0,0,1,0,1,0,13,presidendi; liivia
0,0,0,0,0,1,0,1,1,13,presidendi; liivia
