EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,0,0,2,1,1,0,14,maja; martin; suhkrusaiapidu; isikud
1,1,1,0,0,2,1,1,0,14,maja; martin; suhkrusaiapidu; isikud
1,1,1,0,0,2,1,1,0,14,maja; martin; suhkrusaiapidu; isikud
1,1,1,0,0,2,1,1,0,14,maja; martin; suhkrusaiapidu; isikud
1,1,1,0,0,2,1,1,0,14,maja; martin; suhkrusaiapidu; isikud
1,1,1,0,0,2,1,1,0,14,maja; martin; suhkrusaiapidu; isikud
1,1,1,0,0,2,1,1,0,14,maja; martin; suhkrusaiapidu; isikud
1,1,1,0,0,2,1,1,0,14,maja; martin; suhkrusaiapidu; isikud
1,1,0,0,0,2,1,1,0,14,maja; martin; suhkrusaiapidu; isikud
1,1,0,0,0,2,1,1,0,14,maja; martin; suhkrusaiapidu; isikud
1,1,0,0,0,2,1,2,0,14,maja; martin; isikud; suhkrusaiapidu
