EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,0,2,1,1,1,0,12,nurk; vangla; raamat; sidepidamine; ämber; võitlus
1,1,1,0,2,1,1,1,0,12,nurk; vangla; raamat; sidepidamine; ämber; võitlus
1,1,1,0,2,1,1,1,0,12,nurk; vangla; raamat; sidepidamine; ämber; võitlus
1,1,1,0,2,1,1,1,0,12,nurk; vangla; raamat; sidepidamine; ämber; võitlus
1,1,1,0,2,1,1,1,0,12,nurk; vangla; raamat; sidepidamine; ämber; võitlus
1,1,1,0,2,1,1,1,0,12,nurk; vangla; raamat; sidepidamine; ämber; võitlus
1,1,1,0,2,1,1,1,0,12,nurk; vangla; raamat; sidepidamine; ämber; võitlus
1,1,1,0,2,1,1,1,0,12,nurk; vangla; raamat; sidepidamine; ämber; võitlus
1,1,1,0,2,1,1,1,0,12,nurk; vangla; raamat; sidepidamine; ämber; võitlus
1,1,1,0,2,1,1,1,0,12,nurk; vangla; raamat; sidepidamine; ämber; võitlus
1,1,1,0,2,1,1,1,0,12,nurk; vangla; raamat; sidepidamine; ämber; võitlus
