EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,3,0,0,0,1,1,0,13,muusikapala; muusika; tõnismägi; muusik
2,0,3,0,0,0,1,1,0,13,muusikapala; muusika; tõnismägi; muusik
2,0,3,0,0,0,1,1,0,13,muusikapala; muusika; tõnismägi; muusik
2,0,3,0,0,0,1,1,0,13,muusikapala; muusika; tõnismägi; muusik
2,0,3,0,0,0,1,1,0,13,muusikapala; muusika; tõnismägi; muusik
2,0,3,0,0,0,1,1,0,13,muusikapala; muusika; tõnismägi; muusik
2,0,3,0,0,0,1,1,0,13,muusikapala; muusika; tõnismägi; muusik
2,0,3,0,0,0,1,1,0,13,muusikapala; muusika; tõnismägi; muusik
2,0,3,0,0,0,1,1,0,13,muusikapala; muusika; tõnismägi; muusik
2,0,3,0,0,0,1,1,0,13,muusikapala; muusika; tõnismägi; muusik
2,0,3,0,0,0,1,1,0,13,muusikapala; muusika; tõnismägi; muusik
