EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,2,0,0,1,2,2,0,16,savinõu; keraamika; kiviaja
1,1,2,0,0,1,2,2,0,16,savinõu; keraamika; kiviaja
1,1,2,0,0,1,2,2,0,16,savinõu; keraamika; kiviaja
1,1,2,0,0,1,2,2,0,16,savinõu; keraamika; kiviaja
1,1,2,0,0,1,2,2,0,16,savinõu; keraamika; kiviaja
1,1,2,0,0,1,2,2,0,16,savinõu; keraamika; kiviaja
1,1,2,0,0,1,2,2,0,16,savinõu; keraamika; kiviaja
1,1,2,0,0,1,2,2,0,16,savinõu; keraamika; kiviaja
1,1,2,0,0,1,2,2,1,16,savinõu; keraamika; kiviaja
1,1,2,0,0,1,2,2,1,16,savinõu; keraamika; kiviaja
1,1,2,0,0,1,2,2,1,16,savinõu; keraamika; kiviaja
