word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
jälle;6;no;4;929;932046280;6431.954006688245
esimene;3;no;1;929;932046280;3226.81671662183
esimese;3;no;1;929;932046280;3226.81671662183
tea;3;no;1;929;932046280;3226.81671662183
polka;5;no;971;929;932046280;2636.471628682455
vana;2;no;1;929;932046280;2151.544120495154
naised;2;no;1;929;932046280;2151.544120495154
no;2;no;1;929;932046280;2151.544120495154
terve;2;no;1;929;932046280;2151.544120495154
käib;2;no;1;929;932046280;2151.544120495154
hiljem;2;no;1;929;932046280;2151.544120495154
piljon;2;no;1;929;932046280;2151.544120495154
vanu;2;no;1;929;932046280;2151.544120495154
üldse;2;no;2;929;932046280;2149.240654203853
aasta;2;no;2;929;932046280;2149.240654203853
aiandusseltsi;2;no;55;929;932046280;2033.8359796907143
lõõtspill;2;no;281;929;932046280;1654.9164454664294
janka;2;no;363;929;932046280;1550.130114179298
huvitet;2;no;367;929;932046280;1545.356981341631
laulusõnu;2;no;845;929;932046280;1129.678084626966
oska;1;no;1;929;932046280;1076.2715243684777
imelal;1;no;1;929;932046280;1076.2715243684777
minioon;1;no;1;929;932046280;1076.2715243684777
keel;1;no;1;929;932046280;1076.2715243684777
lahti;1;no;1;929;932046280;1076.2715243684777
paar;1;no;1;929;932046280;1076.2715243684777
simmanisi;1;no;1;929;932046280;1076.2715243684777
tantsukäiku;1;no;1;929;932046280;1076.2715243684777
pikk;1;no;1;929;932046280;1076.2715243684777
ükskord;1;no;1;929;932046280;1076.2715243684777
mõte;1;no;1;929;932046280;1076.2715243684777
sõna;1;no;1;929;932046280;1076.2715243684777
tantsukäike;1;no;1;929;932046280;1076.2715243684777
laululaulul;1;no;1;929;932046280;1076.2715243684777
viga;1;no;1;929;932046280;1076.2715243684777
mõneurolengul;1;no;1;929;932046280;1076.2715243684777
hiina;1;no;1;929;932046280;1076.2715243684777
noored;1;no;1;929;932046280;1076.2715243684777
tööd;1;no;1;929;932046280;1076.2715243684777
polkavat;1;no;1;929;932046280;1076.2715243684777
nägitakse;1;no;1;929;932046280;1076.2715243684777
pikki;1;no;1;929;932046280;1076.2715243684777
grupp;1;no;1;929;932046280;1076.2715243684777
seletada;1;no;1;929;932046280;1076.2715243684777
vigatgaladustel;1;no;1;929;932046280;1076.2715243684777
vanemad;1;no;1;929;932046280;1076.2715243684777
isa;1;no;1;929;932046280;1076.2715243684777
eesti;1;no;1;929;932046280;1076.2715243684777
hooner;1;no;1;929;932046280;1076.2715243684777
ajal;1;no;1;929;932046280;1076.2715243684777
kaheriaga;1;no;1;929;932046280;1076.2715243684777
mees;1;no;1;929;932046280;1076.2715243684777
kolijusi;1;no;1;929;932046280;1076.2715243684777
täitsa;1;no;1;929;932046280;1076.2715243684777
akordionipalavik;1;no;1;929;932046280;1076.2715243684777
30;1;no;1;929;932046280;1076.2715243684777
raske;1;no;2;929;932046280;1075.1192564911642
rida;1;no;2;929;932046280;1075.1192564911642
inimesed;1;no;2;929;932046280;1075.1192564911642
maal;1;no;2;929;932046280;1075.1192564911642
maailmasõjajärgne;1;no;5;929;932046280;1071.6772090295665
leid;1;no;5;929;932046280;1071.6772090295665
puhkeõhtutel;1;no;6;929;932046280;1070.5347523812338
volka;1;no;9;929;932046280;1067.1219507737042
maailmasõjaaegne;1;no;23;929;932046280;1051.4790362640204
akordionid;1;no;40;929;932046280;1033.0898463825586
pidul;1;no;58;929;932046280;1014.3072726680388
aakres;1;no;61;929;932046280;1011.2430430552922
talupoiss;1;no;65;929;932046280;1007.1860877731148
bajaani;1;no;65;929;932046280;1007.1860877731148
karjapoisid;1;no;68;929;932046280;1004.1646693410404
ollu;2;no;1108;929;932046280;984.0415178639356
esinete;1;no;95;929;932046280;977.7662035657612
kärstnas;1;no;98;929;932046280;974.9184687914584
põdrajaht;1;no;116;929;932046280;958.1744253526072
laulusõnadest;1;no;130;929;932046280;945.5436745015836
sulisid;1;no;145;929;932046280;932.3751084140392
simmanil;1;no;166;929;932046280;914.5435491862308
moodu;1;no;198;929;932046280;888.646031454515
pupilli;1;no;228;929;932046280;865.6647233780515
noorimat;1;no;229;929;932046280;864.9191331821308
mängisite;1;no;254;929;932046280;846.6879910301119
kita;1;no;263;929;932046280;840.3115083391897
kita;1;no;263;929;932046280;840.3115083391897
meelelahutused;1;no;265;929;932046280;838.9075333678308
