word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
tegelikult;28;no;1;6171;932046280;4533.488114831835
lihtsalt;15;no;1;6171;932046280;2429.118135343605
näiteks;13;no;1;6171;932046280;2105.3689077300314
üldse;13;no;2;6171;932046280;2103.114877118476
aeg;12;no;1;6171;932046280;1943.4942939232444
arvan;10;no;1;6171;932046280;1619.7450663096708
no;10;no;1;6171;932046280;1619.7450663096708
suur;10;no;1;6171;932046280;1619.7450663096708
töö;9;no;1;6171;932046280;1457.8704525028838
hea;8;no;1;6171;932046280;1295.995838696097
ausalt;8;no;1;6171;932046280;1295.995838696097
tööd;7;no;1;6171;932046280;1134.12122488931
sõna;7;no;1;6171;932046280;1134.12122488931
natuke;7;no;1;6171;932046280;1134.12122488931
eriti;7;no;3;6171;932046280;1131.6954172065305
tea;6;no;1;6171;932046280;972.2466110825231
auto;6;no;1;6171;932046280;972.2466110825231
elu;6;no;1;6171;932046280;972.2466110825231
tallinnas;6;no;1;6171;932046280;972.2466110825231
maha;6;no;1;6171;932046280;972.2466110825231
liivia;8;no;408;6171;932046280;902.37487632955
ellu;5;no;1;6171;932046280;810.3719972757362
päev;5;no;1;6171;932046280;810.3719972757362
nimi;5;no;1;6171;932046280;810.3719972757362
asi;5;no;1;6171;932046280;810.3719972757362
ongi;5;no;1;6171;932046280;810.3719972757362
hästi;5;no;1;6171;932046280;810.3719972757362
rääkida;5;no;1;6171;932046280;810.3719972757362
äkki;5;no;2;6171;932046280;809.50440429386
tõsiselt;5;no;2;6171;932046280;809.50440429386
normaalne;5;no;2;6171;932046280;809.50440429386
suurem;4;no;1;6171;932046280;648.4973834689494
ütlema;4;no;1;6171;932046280;648.4973834689494
käib;4;no;1;6171;932046280;648.4973834689494
arvamus;4;no;1;6171;932046280;648.4973834689494
ühtegi;4;no;1;6171;932046280;648.4973834689494
täpselt;4;no;1;6171;932046280;648.4973834689494
korda;4;no;1;6171;932046280;648.4973834689494
uued;4;no;1;6171;932046280;648.4973834689494
naised;4;no;1;6171;932046280;648.4973834689494
natukene;4;no;1;6171;932046280;648.4973834689494
tundub;4;no;1;6171;932046280;648.4973834689494
hetkel;4;no;1;6171;932046280;648.4973834689494
jumal;4;no;1;6171;932046280;648.4973834689494
inimesed;4;no;2;6171;932046280;647.803095190783
moekunstnik;8;no;1099;6171;932046280;595.3700356797746
lahti;3;no;1;6171;932046280;486.6227696621624
muusika;3;no;1;6171;932046280;486.6227696621624
tore;3;no;1;6171;932046280;486.6227696621624
ruumi;3;no;1;6171;932046280;486.6227696621624
panna;3;no;1;6171;932046280;486.6227696621624
tindur;3;no;1;6171;932046280;486.6227696621624
santana;3;no;1;6171;932046280;486.6227696621624
aru;3;no;1;6171;932046280;486.6227696621624
maa;3;no;1;6171;932046280;486.6227696621624
head;3;no;1;6171;932046280;486.6227696621624
küsimus;3;no;1;6171;932046280;486.6227696621624
isa;3;no;1;6171;932046280;486.6227696621624
tavaliselt;3;no;1;6171;932046280;486.6227696621624
kaugel;3;no;1;6171;932046280;486.6227696621624
nimelt;3;no;1;6171;932046280;486.6227696621624
kord;3;no;1;6171;932046280;486.6227696621624
jällegi;3;no;1;6171;932046280;486.6227696621624
eesti;3;no;1;6171;932046280;486.6227696621624
näinud;3;no;1;6171;932046280;486.6227696621624
kaasa;3;no;1;6171;932046280;486.6227696621624
terve;3;no;1;6171;932046280;486.6227696621624
alguses;3;no;1;6171;932046280;486.6227696621624
aega;3;no;1;6171;932046280;486.6227696621624
võimalik;3;no;2;6171;932046280;486.101786087706
tean;3;no;2;6171;932046280;486.101786087706
aasta;3;no;2;6171;932046280;486.101786087706
raske;3;no;2;6171;932046280;486.101786087706
kindlasti;3;no;4;6171;932046280;485.0631584119725
vaja;3;no;5;6171;932046280;484.5455071830364
vaimuinimene;3;no;65;6171;932046280;455.3866496513858
eestis;2;no;1;6171;932046280;324.7481558553755
