word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
komplimendi;1;no;1234;3883;932046280;111.24626918241977
ajalehtedest;1;no;1254;3883;932046280;110.22848405865358
tükike;2;no;3475;3883;932046280;109.14273602157812
õhtusöögiga;1;no;1279;3883;932046280;108.98214555982018
liverpoolis;1;no;1279;3883;932046280;108.98214555982018
peeglis;1;no;1282;3883;932046280;108.83447636264356
dietrich;1;no;1292;3883;932046280;108.34512289306268
poolehoidjad;1;no;1307;3883;932046280;107.61928847958376
liitlase;1;no;1336;3883;932046280;106.24323218239572
liialdada;1;no;1351;3883;932046280;105.54519618693796
vabrik;1;no;1357;3883;932046280;105.2685433369477
kommenteerisid;1;no;1357;3883;932046280;105.2685433369477
ajalehti;2;no;3645;3883;932046280;105.08897208986006
vihastada;1;no;1364;3883;932046280;104.9476091250473
analüüsisid;1;no;1370;3883;932046280;104.6740761121705
võrdles;2;no;3670;3883;932046280;104.51809032501036
salumets;1;no;1380;3883;932046280;104.22134263093513
muusikaliste;1;no;1388;3883;932046280;103.8619658597754
sümboolikaga;1;no;1391;3883;932046280;103.72783771077472
haripunkti;1;no;1404;3883;932046280;103.15059662536262
möllavad;1;no;1412;3883;932046280;102.79855375827262
piiblis;2;no;3766;3883;932046280;102.3823649461618
maailmad;1;no;1425;3883;932046280;102.2315809286778
žanris;1;no;1432;3883;932046280;101.92887066764992
julgemaks;1;no;1433;3883;932046280;101.88577262279152
purustada;2;no;3823;3883;932046280;101.15508040290152
üx;1;no;1503;3883;932046280;98.95687384079572
kõõma;1;no;1504;3883;932046280;98.91625192213463
vaidles;1;no;1527;3883;932046280;97.99106649040333
berry;1;no;1546;3883;932046280;97.23973659057688
mütse;1;no;1553;3883;932046280;96.96582694084027
show;5;no;11498;3883;932046280;96.62833310965716
kuulsas;1;no;1562;3883;932046280;96.61591665671052
unenäod;2;no;4084;3883;932046280;95.89167681541365
piirasid;1;no;1588;3883;932046280;95.619104077112
karjusin;1;no;1590;3883;932046280;95.54327747168024
george'i;1;no;1600;3883;932046280;95.16594125067056
ehtsad;1;no;1614;3883;932046280;94.64265022176222
ameerikast;2;no;4161;3883;932046280;94.44192381713796
normaalsest;1;no;1622;3883;932046280;94.3462024996896
statistilised;1;no;1625;3883;932046280;94.23551283024058
detroit;1;no;1630;3883;932046280;94.051606096069
õpikuid;1;no;1636;3883;932046280;93.83186331301587
presidentide;1;no;1648;3883;932046280;93.39544387027776
tablettide;1;no;1671;3883;932046280;92.57022027532254
corporation;1;no;1671;3883;932046280;92.57022027532254
kaklus;1;no;1673;3883;932046280;92.49915035154729
tormasid;1;no;1673;3883;932046280;92.49915035154729
poolale;1;no;1679;3883;932046280;92.2865938348894
ansamblid;1;no;1680;3883;932046280;92.25126268683836
perioodile;1;no;1685;3883;932046280;92.07501195831315
ketiga;1;no;1685;3883;932046280;92.07501195831315
hamburgis;1;no;1686;3883;932046280;92.03984259837412
illusioone;1;no;1690;3883;932046280;91.89943341749824
saatkonda;1;no;1704;3883;932046280;91.41135698363342
maailmarekord;1;no;1709;3883;932046280;91.2382980000104
uudiseks;1;no;1760;3883;932046280;89.50981612636276
telerist;1;no;1760;3883;932046280;89.50981612636276
turnee;1;no;1778;3883;932046280;88.9152961352597
kuumad;2;no;4536;3883;932046280;87.96507274128591
köie;1;no;1828;3883;932046280;87.3045387943491
paiskas;1;no;1832;3883;932046280;87.1781957017228
should;1;no;1846;3883;932046280;86.73886006192055
pan;1;no;1847;3883;932046280;86.70764832547478
plaadile;2;no;4621;3883;932046280;86.61859896707323
efekte;1;no;1860;3883;932046280;86.30393029389862
klassikaaslased;1;no;1864;3883;932046280;86.18046462609298
fännide;4;no;10245;3883;932046280;85.98534059803818
tõmbame;1;no;1890;3883;932046280;85.3864691143403
kuninglikus;1;no;1904;3883;932046280;84.96496309871887
identifitseerida;1;no;1906;3883;932046280;84.90508742741818
söör;1;no;1917;3883;932046280;84.57727388214239
jõudmas;2;no;4767;3883;932046280;84.39957584849054
hullunud;1;no;1925;3883;932046280;84.34044951013496
