EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,6,7,5,5,7,5,8,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
7,9,6,7,5,5,7,5,8,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
7,9,6,7,5,5,7,5,8,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
7,9,6,7,5,5,7,5,8,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
7,9,6,7,5,5,7,5,8,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
8,9,6,7,5,5,7,5,8,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
8,9,7,7,5,5,7,5,8,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
10,9,7,7,6,7,7,5,8,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
10,9,8,8,5,7,6,5,8,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
10,9,8,10,5,7,7,5,7,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
9,9,8,10,6,7,7,5,9,13,isikukultus; autor; reisimine; reaalsus; kesk-aasia; tõlge; karantiiniaeg; sissov; luuletaja; kannatus; keskpärane; diktatuur
