EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,2,4,2,4,3,5,4,12,regulatsioon; andmed; kuhjumine; internet; liit; euroopa
4,4,2,4,2,4,3,5,4,12,regulatsioon; andmed; kuhjumine; internet; liit; euroopa
4,4,2,4,2,4,3,5,4,12,regulatsioon; andmed; kuhjumine; internet; liit; euroopa
4,4,2,4,2,4,3,5,4,12,regulatsioon; andmed; kuhjumine; internet; liit; euroopa
4,4,2,4,2,4,3,5,4,12,regulatsioon; andmed; kuhjumine; internet; liit; euroopa
3,4,2,4,2,4,3,5,4,12,regulatsioon; andmed; kuhjumine; internet; liit; euroopa
5,4,2,4,2,4,4,5,4,12,regulatsioon; andmed; kuhjumine; internet; liit; euroopa
5,4,3,4,2,4,4,5,4,12,regulatsioon; andmed; kuhjumine; internet; liit; euroopa
5,4,3,5,2,4,4,6,4,12,regulatsioon; andmed; kuhjumine; internet; liit; euroopa
4,4,3,4,2,4,3,6,5,12,regulatsioon; andmed; kuhjumine; internet; liit; euroopa
4,4,2,4,2,4,2,6,4,12,regulatsioon; andmed; kuhjumine; internet; liit; euroopa
