EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,4,7,5,10,8,8,5,13,pisar; jääma; isa; torm; ema; lugema; kon-tiki; johan; raamat; saar
8,5,4,7,5,10,8,8,5,13,pisar; jääma; isa; torm; ema; lugema; kon-tiki; johan; raamat; saar
8,5,4,7,5,10,8,8,5,13,pisar; jääma; isa; torm; ema; lugema; kon-tiki; johan; raamat; saar
8,5,4,7,5,10,8,8,5,13,pisar; jääma; isa; torm; ema; lugema; kon-tiki; johan; raamat; saar
8,5,4,7,5,10,8,8,5,13,pisar; jääma; isa; torm; ema; lugema; kon-tiki; johan; raamat; saar
8,5,6,7,5,10,9,8,5,13,pisar; jääma; isa; torm; ema; lugema; kon-tiki; johan; raamat; saar
8,5,5,7,5,10,9,8,5,13,pisar; jääma; isa; torm; ema; lugema; kon-tiki; johan; raamat; saar
8,5,5,8,5,9,9,8,5,13,pisar; jääma; isa; torm; ema; lugema; kon-tiki; johan; raamat; saar
7,5,4,8,8,7,9,8,5,13,pisar; jääma; isa; torm; ema; lugema; kon-tiki; johan; raamat; saar
7,6,4,8,7,9,9,9,5,13,pisar; jääma; isa; torm; ema; lugema; kon-tiki; johan; raamat; saar
6,6,5,8,7,9,8,9,7,13,pisar; jääma; isa; torm; ema; lugema; kon-tiki; johan; raamat; saar
