EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,4,5,3,3,3,5,3,11,lill; plaat; koostöö; välismaa; eurovisioon; superstaar; laulma; õigemeel; auhind; kontsert
5,4,4,5,3,3,3,5,4,11,lill; plaat; koostöö; välismaa; eurovisioon; superstaar; laulma; õigemeel; auhind; kontsert
5,4,4,5,3,3,3,5,4,11,lill; plaat; koostöö; välismaa; eurovisioon; superstaar; laulma; õigemeel; auhind; kontsert
5,5,5,5,3,3,3,5,4,11,lill; plaat; koostöö; välismaa; eurovisioon; superstaar; laulma; õigemeel; auhind; kontsert
5,5,4,5,3,3,3,5,4,11,lill; plaat; koostöö; välismaa; eurovisioon; superstaar; laulma; õigemeel; auhind; kontsert
4,5,5,5,3,3,4,5,4,11,lill; plaat; koostöö; välismaa; eurovisioon; superstaar; laulma; õigemeel; auhind; kontsert
4,7,4,4,3,3,3,5,4,11,lill; plaat; koostöö; välismaa; eurovisioon; superstaar; laulma; õigemeel; auhind; kontsert
4,3,4,7,5,3,4,6,4,11,lill; plaat; koostöö; välismaa; eurovisioon; superstaar; laulma; õigemeel; auhind; kontsert
6,3,4,6,4,2,4,6,4,11,lill; plaat; koostöö; välismaa; eurovisioon; superstaar; laulma; õigemeel; auhind; kontsert
5,4,5,5,3,2,3,7,4,11,lill; plaat; koostöö; välismaa; eurovisioon; superstaar; laulma; õigemeel; auhind; kontsert
5,5,6,5,3,3,3,6,4,11,lill; plaat; koostöö; välismaa; eurovisioon; superstaar; laulma; õigemeel; auhind; kontsert
