EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,2,4,3,3,7,5,3,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,7,2,4,2,3,7,5,2,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,7,2,4,2,3,7,5,3,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,7,2,4,2,3,7,5,3,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,7,2,4,2,3,7,5,2,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,7,2,4,2,3,7,5,2,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,7,3,4,2,3,7,5,2,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
9,7,3,6,2,4,7,5,3,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
9,7,3,5,3,4,7,5,2,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
7,6,3,7,3,5,6,5,2,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
7,8,3,4,5,4,6,5,2,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
