EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,6,2,1,3,2,6,4,11,noor; töö; doktor; tervis; liikuma; jooksma; tennis; pension; laur
4,5,6,2,1,3,2,6,4,11,noor; töö; doktor; tervis; liikuma; jooksma; tennis; pension; laur
4,5,6,2,1,3,2,6,4,11,noor; töö; doktor; tervis; liikuma; jooksma; tennis; pension; laur
4,5,6,2,1,3,2,6,4,11,noor; töö; doktor; tervis; liikuma; jooksma; tennis; pension; laur
4,5,6,2,1,3,2,6,4,11,noor; töö; doktor; tervis; liikuma; jooksma; tennis; pension; laur
4,6,6,2,1,3,4,6,4,11,noor; töö; doktor; tervis; liikuma; jooksma; tennis; pension; laur
5,5,6,2,1,7,4,7,4,11,noor; töö; doktor; liikuma; jooksma; tennis; pension; tervis; laur
5,5,6,4,1,5,5,6,4,11,noor; töö; doktor; liikuma; jooksma; tennis; pension; tervis; laur
4,5,7,3,3,5,5,5,4,11,noor; töö; doktor; tervis; liikuma; jooksma; tennis; pension; laur
4,3,7,4,3,6,5,7,4,11,noor; töö; liikuma; doktor; jooksma; tennis; pension; tervis; laur
6,5,8,4,3,5,6,7,3,11,noor; liikuma; töö; doktor; tervis; jooksma; tennis; pension; laur
