EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,10,10,10,10,10,12,mängusõber; mängima; saatus; käima; laul; mäng; varrukas; trump; elu; kaart
10,10,10,10,10,10,10,10,10,12,mängusõber; mängima; saatus; käima; laul; mäng; varrukas; trump; elu; kaart
10,10,10,10,10,10,10,10,10,12,mängusõber; mängima; saatus; käima; laul; mäng; varrukas; trump; elu; kaart
10,10,10,10,10,10,10,10,10,12,mängusõber; mängima; saatus; käima; laul; mäng; varrukas; trump; elu; kaart
10,10,10,10,10,10,10,10,10,12,mängusõber; mängima; saatus; käima; laul; mäng; varrukas; trump; elu; kaart
10,10,10,10,10,10,10,10,10,12,mängusõber; mängima; saatus; käima; laul; mäng; varrukas; trump; elu; kaart
10,10,10,10,10,10,10,10,10,12,mängusõber; mängima; saatus; käima; laul; mäng; varrukas; trump; elu; kaart
10,10,10,10,10,10,10,10,10,12,mängusõber; mängima; saatus; käima; laul; mäng; varrukas; trump; elu; kaart
10,10,10,10,10,10,10,10,10,12,mängusõber; mängima; saatus; käima; laul; mäng; varrukas; trump; elu; kaart
10,10,10,10,10,10,10,10,10,12,mängusõber; mängima; saatus; käima; laul; mäng; varrukas; trump; elu; kaart
10,10,10,10,10,10,10,10,10,12,mängusõber; mängima; saatus; käima; laul; mäng; varrukas; trump; elu; kaart
