EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,4,6,6,6,5,8,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
7,7,7,4,6,6,6,5,8,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
7,7,7,4,6,6,6,5,8,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
7,7,7,4,6,6,6,5,8,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
7,7,7,4,6,6,6,5,8,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
7,7,7,4,6,6,6,5,8,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
7,7,7,4,6,6,6,5,8,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
7,7,7,4,6,6,6,5,8,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
7,7,7,4,6,6,6,5,8,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
7,7,7,4,6,6,6,5,8,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
7,7,7,4,6,6,6,5,8,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
