EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,3,5,1,3,1,4,3,18,arnold; sotsiaaldemokraatlik; strandberg; valimine; erakond; rüütel; roheline; rahvusringhääling; voldemar; tarmo; rahvaliit
5,4,3,5,1,3,1,4,3,18,arnold; sotsiaaldemokraatlik; strandberg; valimine; erakond; rüütel; roheline; rahvusringhääling; voldemar; tarmo; rahvaliit
5,4,4,5,1,3,1,4,3,18,arnold; sotsiaaldemokraatlik; strandberg; valimine; erakond; rüütel; roheline; rahvusringhääling; voldemar; tarmo; rahvaliit
5,5,4,5,1,3,1,4,3,18,arnold; sotsiaaldemokraatlik; strandberg; valimine; erakond; rüütel; roheline; rahvusringhääling; voldemar; tarmo; rahvaliit
6,5,3,5,1,3,1,4,3,18,arnold; sotsiaaldemokraatlik; strandberg; valimine; erakond; rüütel; roheline; rahvusringhääling; voldemar; tarmo; rahvaliit
6,3,5,7,1,3,3,6,3,18,arnold; sotsiaaldemokraatlik; strandberg; valimine; erakond; rüütel; roheline; rahvusringhääling; voldemar; tarmo; kohus; rahvaliit
7,3,7,6,2,9,6,4,3,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; rahvaliit; kuslap; strandberg; erakond; rüütel; roheline; voldemar
7,5,5,3,1,7,8,5,3,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
7,5,6,6,2,8,3,7,4,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
7,5,5,5,0,6,4,4,2,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
7,5,4,7,1,5,3,6,2,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
