EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,5,3,6,7,5,4,11,laulusõna; polk; meelelahutus; lõuna-eesti; maailmasõjajärgne; lõõtspill; pillimäng; tantsima; simman; tants
5,5,5,5,3,6,7,5,4,11,laulusõna; polk; meelelahutus; lõuna-eesti; maailmasõjajärgne; lõõtspill; pillimäng; tantsima; simman; tants
5,5,5,5,3,6,7,5,4,11,laulusõna; polk; meelelahutus; lõuna-eesti; maailmasõjajärgne; lõõtspill; pillimäng; tantsima; simman; tants
5,5,5,5,3,6,7,5,4,11,laulusõna; polk; meelelahutus; lõuna-eesti; maailmasõjajärgne; lõõtspill; pillimäng; tantsima; simman; tants
5,5,5,5,3,6,7,5,4,11,laulusõna; polk; meelelahutus; lõuna-eesti; maailmasõjajärgne; lõõtspill; pillimäng; tantsima; simman; tants
5,5,5,5,3,6,7,5,4,11,laulusõna; polk; meelelahutus; lõuna-eesti; maailmasõjajärgne; lõõtspill; pillimäng; tantsima; simman; tants
5,5,4,5,3,6,7,6,4,11,laulusõna; polk; meelelahutus; lõuna-eesti; maailmasõjajärgne; lõõtspill; pillimäng; tantsima; simman; tants
6,5,5,4,3,6,6,6,4,11,laulusõna; polk; lõuna-eesti; meelelahutus; tantsima; lõõtspill; pillimäng; maailmasõjajärgne; simman; tants
6,4,7,6,3,6,6,6,4,11,laulusõna; polk; lõuna-eesti; meelelahutus; tantsima; lõõtspill; pillimäng; maailmasõjajärgne; simman; tants
7,5,5,6,3,6,7,6,4,11,laulusõna; polk; meelelahutus; lõuna-eesti; tantsima; lõõtspill; pillimäng; maailmasõjajärgne; simman; tants
6,4,8,7,3,6,6,7,4,11,laulusõna; polk; meelelahutus; lõuna-eesti; tantsima; lõõtspill; pillimäng; maailmasõjajärgne; simman; tants
