EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,6,6,6,9,9,9,7,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
7,6,6,6,7,9,9,9,7,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
7,6,6,6,7,9,9,9,7,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
7,6,6,6,7,9,9,9,7,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
7,6,6,6,7,9,9,9,7,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
7,6,6,6,7,9,9,9,7,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
7,6,6,6,7,9,9,9,7,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
7,6,6,6,7,9,9,9,7,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
7,6,6,6,7,9,9,9,7,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
7,6,6,6,7,9,9,9,7,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
7,6,6,6,7,9,9,9,7,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
