EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,9,7,3,5,7,9,4,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
9,7,9,7,3,5,7,9,4,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
9,7,9,7,3,5,7,9,4,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
9,7,9,7,3,5,7,9,4,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
9,7,9,7,3,5,7,9,4,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
9,7,10,7,3,5,7,9,4,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
10,7,10,8,3,6,7,8,4,10,ameerika; euroopa; sport; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
7,7,9,8,3,7,7,8,4,10,tähendus; elukutse; jalgpall; euroopa; äri; ameerika; sport; võitlus; show; meedia
8,6,9,8,4,9,7,9,4,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
9,7,8,8,4,8,7,9,4,10,ameerika; euroopa; sport; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
8,6,9,9,3,9,7,9,5,10,ameerika; euroopa; sport; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
