EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,13,10,12,9,13,11,12,8,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,13,10,12,9,13,11,12,8,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,13,10,12,9,13,11,12,8,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,13,10,12,9,13,11,12,8,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,13,10,12,9,13,11,12,8,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,13,10,12,9,13,11,12,8,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,13,10,12,9,13,11,12,9,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,13,10,12,9,13,11,12,9,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,13,10,12,9,13,11,12,9,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,13,10,12,9,13,11,12,9,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,13,10,12,9,13,11,12,8,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
