EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,9,6,11,7,8,8,5,5,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
12,9,6,11,7,8,8,5,5,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
12,9,6,11,7,8,8,5,5,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
12,9,6,11,7,8,8,5,5,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
12,9,6,11,7,8,8,5,5,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
12,9,6,11,7,8,8,5,5,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
12,9,6,11,7,8,8,5,5,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
12,9,6,11,7,8,8,5,5,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
12,9,6,11,7,8,8,5,5,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
12,9,6,11,7,8,8,5,5,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
12,9,6,11,7,8,8,5,5,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
