EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,5,8,6,5,3,5,8,13,kodu; üksinda; popiidol; kana; aasta; uus; iraan; trump; televisioon; senjorii
7,5,5,8,6,5,3,5,8,13,kodu; üksinda; popiidol; kana; aasta; uus; iraan; trump; televisioon; senjorii
7,5,5,8,6,5,3,5,8,13,kodu; üksinda; popiidol; kana; aasta; uus; iraan; trump; televisioon; senjorii
7,5,5,8,6,5,3,5,8,13,kodu; üksinda; popiidol; kana; aasta; uus; iraan; trump; televisioon; senjorii
7,5,5,8,6,5,3,5,8,13,kodu; üksinda; popiidol; kana; aasta; uus; iraan; trump; televisioon; senjorii
7,5,5,8,6,5,3,5,8,13,kodu; üksinda; popiidol; kana; aasta; uus; iraan; trump; televisioon; senjorii
6,5,5,8,6,5,3,5,8,13,kodu; üksinda; popiidol; kana; aasta; uus; iraan; trump; televisioon; senjorii
6,5,5,7,6,6,4,5,8,13,kodu; üksinda; popiidol; kana; aasta; uus; iraan; trump; televisioon; senjorii
5,5,5,7,6,6,4,5,8,13,kodu; üksinda; popiidol; kana; aasta; uus; iraan; trump; televisioon; senjorii
5,5,5,7,8,6,3,5,8,13,kodu; üksinda; popiidol; kana; aasta; uus; iraan; trump; televisioon; senjorii
6,8,5,6,8,6,4,5,8,13,kodu; senjorii; üksinda; kana; aasta; uus; iraan; trump; televisioon; popiidol
