EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,8,4,8,2,4,4,4,7,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; maarja; laul; eesti; raadio; tmw; bänd
3,8,4,10,2,4,4,4,7,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; maarja; laul; eesti; raadio; tmw; bänd
3,8,4,10,2,4,4,4,7,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; maarja; laul; eesti; raadio; tmw; bänd
3,8,3,10,2,4,4,4,7,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; maarja; laul; eesti; raadio; tmw; bänd
3,8,5,10,2,4,5,6,7,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; maarja; laul; eesti; raadio; tmw; bänd
3,6,5,10,2,4,6,6,7,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; maarja; laul; eesti; raadio; tmw; bänd
9,5,7,7,2,4,5,7,7,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; laul; eesti; maarja; raadio; tmw; bänd
9,4,6,7,1,7,6,8,7,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; maarja; eesti; laul; raadio; tmw; bänd
7,6,7,8,2,5,5,6,7,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; laul; eesti; maarja; raadio; tmw; bänd
9,4,3,8,0,4,7,5,6,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; eesti; laul; maarja; raadio; tmw; bänd
7,2,5,7,2,4,3,7,7,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; eesti; laul; maarja; raadio; tmw; bänd
