EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,4,5,6,6,6,4,10,hämarik; lill; faehlmann; ööbik; taevas; koit
5,5,4,4,5,6,6,6,4,10,hämarik; lill; faehlmann; ööbik; taevas; koit
5,5,4,4,5,6,6,6,4,10,hämarik; lill; faehlmann; ööbik; taevas; koit
5,5,4,4,5,6,6,6,4,10,hämarik; lill; faehlmann; ööbik; taevas; koit
5,5,4,4,5,6,6,6,4,10,hämarik; lill; faehlmann; ööbik; taevas; koit
5,5,4,4,5,6,6,6,4,10,hämarik; lill; faehlmann; ööbik; taevas; koit
5,5,3,4,5,6,6,6,4,10,hämarik; lill; faehlmann; ööbik; taevas; koit
6,5,3,4,5,6,5,6,4,10,koit; hämarik; lill; faehlmann; ööbik; taevas
5,5,4,4,5,6,5,6,4,10,hämarik; lill; faehlmann; taevas; ööbik; koit
5,5,5,4,5,5,5,6,4,10,hämarik; lill; faehlmann; taevas; ööbik; koit
5,5,5,4,5,5,5,6,4,10,hämarik; lill; faehlmann; taevas; ööbik; koit
