EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,7,4,3,3,2,3,3,4,14,torn; uusgoot; stiil; park; paruness; loss; haar; holland; restaureerimistöö; muuseum
3,7,4,3,3,2,3,3,4,14,torn; uusgoot; stiil; park; paruness; loss; haar; holland; restaureerimistöö; muuseum
3,7,4,3,3,2,3,3,4,14,torn; uusgoot; stiil; park; paruness; loss; haar; holland; restaureerimistöö; muuseum
3,7,4,3,3,2,3,3,4,14,torn; uusgoot; stiil; park; paruness; loss; haar; holland; restaureerimistöö; muuseum
3,6,4,3,3,3,3,5,4,14,torn; uusgoot; stiil; park; paruness; loss; haar; holland; restaureerimistöö; muuseum
2,5,4,3,3,4,4,6,4,14,torn; uusgoot; stiil; park; paruness; loss; haar; holland; restaureerimistöö; muuseum
6,5,3,3,3,4,5,5,4,14,torn; uusgoot; stiil; park; paruness; loss; haar; holland; restaureerimistöö; muuseum
5,5,4,6,3,4,5,4,4,14,torn; uusgoot; stiil; park; paruness; loss; haar; holland; restaureerimistöö; muuseum
2,2,5,5,3,4,5,3,5,14,torn; uusgoot; stiil; park; paruness; loss; haar; holland; restaureerimistöö; muuseum
2,3,3,6,5,6,4,3,5,14,torn; uusgoot; stiil; park; paruness; loss; haar; holland; restaureerimistöö; muuseum
3,4,6,5,6,7,6,2,3,14,torn; uusgoot; ornament; stiil; park; paruness; loss; haar; holland; muuseum
