EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,7,3,1,6,4,6,6,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
4,6,7,3,1,6,4,6,6,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
4,6,7,3,1,6,4,6,6,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
4,6,7,3,1,6,4,6,6,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
4,5,5,3,1,6,4,6,6,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
3,6,7,3,1,7,4,8,6,10,keskkool; tele; eriala; töö; armastus; näitleja; raadio; raha; lavakas
6,7,7,5,1,6,3,8,6,10,keskkool; eriala; tele; töö; armastus; näitleja; raadio; raha; lavakas
5,4,7,5,1,7,5,8,6,10,keskkool; eriala; töö; tele; armastus; näitleja; raadio; raha; lavakas
6,5,7,7,2,8,6,4,6,10,keskkool; eriala; tele; töö; armastus; näitleja; raadio; raha; lavakas
6,4,6,6,0,7,6,4,6,10,keskkool; eriala; tele; töö; armastus; näitleja; raadio; raha; lavakas
6,3,7,7,0,7,7,4,7,10,keskkool; tele; eriala; töö; armastus; näitleja; raadio; raha; lavakas
