EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,5,5,8,4,4,8,4,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
4,6,5,5,8,4,4,8,4,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
4,6,5,5,8,4,4,8,4,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
4,5,5,5,8,4,4,8,4,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
4,6,5,5,8,4,4,8,4,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
4,6,4,5,8,4,4,8,4,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
6,6,4,5,8,4,4,9,4,14,martin; ilmar; uus; maja; kõrvaline; tomusk; tuba; isik; pood; suhkrusaiapidu
9,5,5,6,8,4,4,9,4,14,martin; ilmar; uus; maja; kõrvaline; tomusk; tuba; isik; pood; suhkrusaiapidu
9,6,5,8,7,4,5,9,3,14,martin; ilmar; uus; maja; kõrvaline; tomusk; isik; tuba; pood; suhkrusaiapidu
10,6,5,8,7,6,7,9,5,14,martin; ilmar; uus; maja; kõrvaline; tomusk; tuba; isik; pood; suhkrusaiapidu
10,7,8,8,7,6,7,8,6,14,martin; tomusk; ilmar; isik; tuba; uus; maja; pood; kõrvaline; suhkrusaiapidu
