EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,5,3,4,3,4,3,2,15,nukuteater; muusikakultuur; muusikaline; vain; draama; kultus; birma; ansambel; rituaal; natt; trumm; tants
6,4,5,3,4,3,4,3,2,15,nukuteater; muusikakultuur; muusikaline; vain; draama; kultus; birma; ansambel; rituaal; natt; trumm; tants
6,4,5,3,4,3,4,3,2,15,nukuteater; muusikakultuur; muusikaline; vain; draama; kultus; birma; ansambel; rituaal; natt; trumm; tants
6,4,5,3,4,3,4,3,3,15,nukuteater; muusikakultuur; muusikaline; vain; draama; kultus; birma; ansambel; rituaal; natt; trumm; tants
6,4,5,4,4,3,4,4,3,15,nukuteater; muusikakultuur; muusikaline; vain; draama; kultus; birma; ansambel; rituaal; natt; trumm; tants
7,3,5,3,4,4,4,4,3,15,nukuteater; muusikakultuur; muusikaline; vain; draama; kultus; birma; ansambel; rituaal; natt; trumm; tants
4,3,4,5,4,5,3,4,3,15,nukuteater; muusikakultuur; muusikaline; vain; kultus; draama; birma; ansambel; rituaal; trumm; tants
7,5,3,5,4,6,2,5,3,15,nukuteater; muusikakultuur; muusikaline; vain; draama; birma; ansambel; rituaal; natt; trumm; tants
3,4,2,3,5,4,4,5,3,15,nukuteater; muusikakultuur; muusikaline; vain; draama; birma; rituaal; natt; trumm; tants
4,5,3,4,5,3,4,6,3,15,nukuteater; muusikakultuur; muusikaline; vain; draama; kultus; birma; rituaal; natt; trumm; tants
5,6,2,2,4,2,3,4,4,15,nukuteater; muusikakultuur; muusikaline; vain; draama; kultus; birma; rituaal; trumm; tants
