EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,8,9,7,6,5,6,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
8,10,8,9,7,6,5,6,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
8,10,8,9,7,6,5,6,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
8,10,8,9,7,6,5,6,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
7,10,8,9,7,7,5,6,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
7,10,8,9,7,6,5,6,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
7,10,8,8,7,7,8,7,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
6,10,9,8,7,7,8,8,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
7,9,6,7,7,7,8,5,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
7,8,7,8,7,6,8,7,5,11,seljakott; aeg; plaat; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma; stuudio
6,9,7,8,7,8,7,6,5,11,seljakott; aeg; plaat; raadiomaja; sportlane; tuletõrje; korrus; jooksma; aesma; stuudio
