EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,2,1,3,3,2,4,15,õpetaja; keel; eesti; haridus
4,3,3,2,1,3,3,2,4,15,õpetaja; keel; eesti; haridus
4,3,3,2,1,3,3,2,4,15,õpetaja; keel; eesti; haridus
4,3,3,2,1,3,3,2,4,15,õpetaja; keel; eesti; haridus
4,3,3,2,1,3,3,2,4,15,õpetaja; keel; eesti; haridus
4,3,3,2,1,3,3,3,4,15,õpetaja; keel; eesti; haridus
4,3,3,2,1,4,4,3,4,15,õpetaja; keel; eesti; haridus
3,4,3,3,0,4,4,2,4,15,keel; õpetaja; eesti; haridus
3,3,2,2,1,4,2,2,4,15,keel; õpetaja; eesti; haridus
4,3,3,2,1,2,3,3,4,15,õpetaja; keel; eesti; haridus
4,4,3,3,2,2,3,2,4,15,õpetaja; eesti; haridus; keel
