EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,2,3,2,2,2,2,0,13,provints; balti; tartu; haridus; peeter
2,4,2,3,2,2,2,2,0,13,provints; balti; tartu; haridus; peeter
2,4,2,3,2,2,2,2,0,13,provints; balti; tartu; haridus; peeter
2,4,2,3,2,2,2,2,0,13,provints; balti; tartu; haridus; peeter
2,4,2,3,2,2,2,2,0,13,provints; balti; tartu; haridus; peeter
2,4,3,3,2,2,2,2,0,13,provints; balti; tartu; haridus; peeter
4,4,2,3,2,2,2,2,0,13,haridus; peeter; provints; balti; tartu
4,4,3,3,2,3,2,2,0,13,haridus; peeter; provints; balti; tartu
4,4,1,4,2,3,3,3,0,13,haridus; peeter; provints; balti; tartu
3,4,1,4,2,3,3,2,0,13,provints; balti; tartu; haridus; peeter
3,2,2,4,3,3,3,2,1,13,haridus; peeter; provints; balti; tartu
