EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,6,4,2,2,2,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
2,5,6,4,2,2,2,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
2,5,6,4,2,2,2,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
2,5,6,4,2,2,2,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
2,5,6,4,2,2,2,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
2,5,6,4,2,2,2,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
5,4,5,4,2,3,5,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
4,6,5,6,1,5,5,3,2,12,krista; kerge; meedia; haridus; lingvistika; keel; hajumine
5,5,6,4,1,6,5,4,2,12,krista; kerge; meedia; haridus; lingvistika; keel; hajumine
4,4,5,4,4,3,5,3,2,12,krista; kerge; meedia; haridus; lingvistika; keel; hajumine
2,4,4,4,4,4,5,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
