EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,11,11,11,11,11,11,11,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
11,11,11,11,11,11,11,11,11,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
11,11,11,11,11,11,11,11,11,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
11,11,11,11,11,11,11,11,11,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
11,11,11,11,11,11,11,11,11,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
11,11,11,11,11,11,11,11,11,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
11,11,11,11,11,11,11,11,11,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
11,11,11,11,11,11,11,11,11,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
11,11,11,11,11,11,11,11,11,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
11,11,11,11,11,11,11,11,11,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
11,11,11,11,11,11,11,11,11,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
