EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,5,7,4,7,6,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
5,6,5,7,4,7,6,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
5,6,5,7,4,7,6,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
5,6,5,7,4,7,6,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
5,6,6,7,4,7,6,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
7,6,5,8,4,6,7,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
6,5,6,8,4,7,7,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
6,5,5,5,4,7,5,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
6,7,6,5,5,6,5,8,4,12,eero; juubel; hääl; raadio; sepling; veike; ferdinand; buratino; televisioon
5,6,5,7,6,5,7,8,4,12,eero; juubel; hääl; raadio; sepling; veike; ferdinand; buratino; televisioon
6,5,5,6,6,6,7,8,6,12,eero; juubel; hääl; raadio; sepling; veike; ferdinand; buratino; televisioon
