EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,5,2,2,3,5,9,5,13,lastekirjanik; heinrich; hoffmann; doktor; tõlge; pseudonüüm; tõlgendus; kahupea; pildiraamat; luuleruum; psühholoogiline; lugu
7,9,5,2,2,3,5,9,5,13,lastekirjanik; heinrich; hoffmann; doktor; tõlge; pseudonüüm; tõlgendus; kahupea; pildiraamat; luuleruum; psühholoogiline; lugu
7,9,5,2,2,3,5,9,5,13,lastekirjanik; heinrich; hoffmann; doktor; tõlge; pseudonüüm; tõlgendus; kahupea; pildiraamat; luuleruum; psühholoogiline; lugu
7,10,7,2,2,3,5,9,6,13,lastekirjanik; heinrich; hoffmann; doktor; tõlge; pseudonüüm; tõlgendus; kahupea; pildiraamat; luuleruum; psühholoogiline; lugu
7,10,8,2,2,3,4,9,6,13,lastekirjanik; heinrich; hoffmann; doktor; tõlge; pseudonüüm; tõlgendus; kahupea; pildiraamat; luuleruum; psühholoogiline; lugu
6,9,7,2,2,6,6,9,6,13,lastekirjanik; heinrich; hoffmann; doktor; tõlge; pseudonüüm; tõlgendus; kahupea; pildiraamat; luuleruum; psühholoogiline; lugu
4,7,7,2,3,5,5,9,6,13,lastekirjanik; heinrich; hoffmann; doktor; tõlge; pseudonüüm; tõlgendus; kahupea; pildiraamat; luuleruum; psühholoogiline; lugu
5,9,10,4,3,7,3,8,6,13,lastekirjanik; heinrich; hoffmann; doktor; tõlge; pseudonüüm; tõlgendus; kahupea; pildiraamat; luuleruum; psühholoogiline; lugu
4,5,6,5,3,4,3,8,6,13,lastekirjanik; heinrich; hoffmann; doktor; tõlge; pseudonüüm; tõlgendus; kahupea; pildiraamat; luuleruum; psühholoogiline; lugu
2,5,8,5,3,8,6,4,7,13,lastekirjanik; heinrich; hoffmann; doktor; tõlge; pseudonüüm; tõlgendus; kahupea; pildiraamat; luuleruum; psühholoogiline; lugu
2,5,6,5,3,6,5,4,6,13,lastekirjanik; tõlgendus; heinrich; kahupea; pildiraamat; hoffmann; doktor; luuleruum; psühholoogiline; tõlge; lugu; pseudonüüm
