EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,6,3,3,4,4,6,3,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
7,6,6,3,3,4,4,6,3,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
7,6,6,3,3,4,4,6,3,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
7,6,6,3,3,4,4,6,3,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
7,6,6,3,3,4,4,6,3,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
7,6,5,3,3,4,4,6,3,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
8,6,6,3,3,3,4,8,3,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
8,6,6,4,3,3,3,8,3,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
9,6,5,4,3,3,4,7,3,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
8,7,5,4,3,3,4,8,3,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
8,7,5,2,3,3,4,8,3,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
