EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,3,1,1,3,1,4,5,11,orkester; estonia; teater; näitleja; perekond; viiul
3,2,3,1,1,3,1,4,5,11,orkester; estonia; teater; näitleja; perekond; viiul
3,2,3,1,1,3,1,4,5,11,orkester; estonia; teater; näitleja; perekond; viiul
3,2,3,1,1,3,1,4,5,11,orkester; estonia; teater; näitleja; perekond; viiul
3,3,3,1,1,3,1,3,5,11,orkester; estonia; teater; näitleja; perekond; viiul
4,3,5,1,1,2,1,4,5,11,orkester; estonia; teater; näitleja; perekond; viiul
2,3,4,2,1,4,1,4,5,11,orkester; estonia; teater; näitleja; perekond; viiul
3,2,3,4,1,2,1,3,5,11,orkester; estonia; teater; näitleja; perekond; viiul
4,2,4,4,2,5,1,4,5,11,orkester; estonia; teater; näitleja; perekond; viiul
5,3,3,3,2,4,1,3,5,11,orkester; estonia; teater; näitleja; perekond; viiul
4,4,4,3,2,4,1,1,4,11,orkester; estonia; teater; näitleja; perekond; viiul
