EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,9,9,8,4,3,9,8,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
7,9,9,9,8,4,3,9,8,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
7,9,9,9,8,4,3,9,8,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
7,9,9,9,8,4,3,9,8,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
7,9,9,9,8,4,3,9,8,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
7,9,9,9,8,4,3,9,8,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
7,9,10,9,8,4,3,10,8,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
8,9,10,9,8,6,3,10,8,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; kodanik; internetiteenus; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
10,9,12,8,9,6,3,10,7,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
10,9,11,8,9,6,3,11,7,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; kodanik; internetiteenus; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
9,10,11,8,8,7,4,11,8,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; kodanik; internetiteenus; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
