EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,9,8,10,9,9,8,10,10,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,9,8,10,9,9,8,10,10,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,9,8,10,9,9,8,10,10,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,9,8,10,9,9,8,10,10,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,9,8,10,9,9,8,10,10,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,9,8,10,9,9,8,10,10,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,9,8,10,9,9,8,10,10,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,9,8,10,9,9,8,10,10,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,9,8,10,9,9,8,10,10,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,9,8,10,9,9,8,10,10,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,9,8,10,9,9,8,10,10,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
