EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,15,10,12,10,11,11,13,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
13,15,10,12,10,11,11,13,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
13,15,10,12,10,11,11,13,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
13,15,10,12,10,11,11,13,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
13,15,10,13,10,11,11,13,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
13,15,10,13,10,11,11,13,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
14,15,10,13,10,11,11,13,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
14,15,11,13,10,11,11,13,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
15,15,12,16,10,12,11,13,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
14,15,12,14,11,12,14,13,11,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
15,14,14,14,11,13,14,14,13,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev; kiri
