EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,3,2,1,1,2,3,1,11,laps; looming; ülo; õppima; granaat; vanaisa
1,2,3,2,1,1,2,3,1,11,laps; looming; ülo; õppima; granaat; vanaisa
1,2,3,2,1,1,2,3,1,11,laps; looming; ülo; õppima; granaat; vanaisa
1,2,2,2,1,1,2,4,1,11,laps; looming; ülo; õppima; granaat; vanaisa
1,2,3,2,1,1,2,4,1,11,laps; looming; ülo; õppima; granaat; vanaisa
2,2,2,2,1,2,3,3,1,11,laps; looming; ülo; õppima; granaat; vanaisa
2,1,1,2,1,3,4,4,1,11,laps; looming; ülo; õppima; granaat; vanaisa
3,2,2,3,1,1,4,2,1,11,laps; looming; ülo; õppima; granaat; vanaisa
4,3,2,2,1,3,4,1,1,11,laps; looming; ülo; õppima; granaat; vanaisa
4,3,4,2,1,2,2,3,1,11,laps; looming; ülo; õppima; granaat; vanaisa
2,2,1,4,1,3,3,0,1,11,laps; looming; ülo; õppima; granaat; vanaisa
