EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,11,11,3,10,6,10,5,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
10,11,11,11,3,10,6,10,5,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
10,11,11,11,3,10,6,10,5,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
10,11,11,11,3,10,6,10,5,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
10,11,11,11,3,10,6,10,5,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
10,11,11,11,3,10,6,10,5,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
10,11,11,11,3,10,6,10,5,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
10,11,11,11,3,10,6,10,5,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
10,11,11,11,3,10,6,10,5,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
10,11,11,12,3,10,8,10,5,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
9,10,11,12,3,10,10,10,5,12,teadusrakendus; teaduspreemia; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
