EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,7,7,8,3,9,6,7,10,12,lõpp; lähedane; rahuaeg; heategevus; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,7,7,8,3,9,6,7,10,12,lõpp; lähedane; rahuaeg; heategevus; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,7,7,8,3,9,6,7,10,12,lõpp; lähedane; rahuaeg; heategevus; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,7,7,8,3,9,6,7,10,12,lõpp; lähedane; rahuaeg; heategevus; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
4,7,7,8,3,9,6,7,8,12,lõpp; lähedane; rahuaeg; heategevus; jaanuar; intensiivne; aasta; jõulurõõm; ametkond; kokkuvõte; tegutsemisaeg
4,7,7,8,3,9,6,7,8,12,lõpp; lähedane; rahuaeg; heategevus; jaanuar; intensiivne; aasta; jõulurõõm; ametkond; kokkuvõte; tegutsemisaeg
4,7,7,8,3,9,6,7,8,12,lõpp; lähedane; rahuaeg; heategevus; jaanuar; intensiivne; aasta; jõulurõõm; ametkond; kokkuvõte; tegutsemisaeg
4,7,7,8,3,9,6,7,8,12,lõpp; lähedane; rahuaeg; heategevus; jaanuar; intensiivne; aasta; jõulurõõm; ametkond; kokkuvõte; tegutsemisaeg
7,7,7,9,3,9,6,7,8,12,lõpp; lähedane; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
6,6,7,8,3,9,6,7,8,12,lähedane; lõpp; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
6,6,6,7,2,9,6,7,10,12,lähedane; lõpp; heategevus; rahuaeg; ametkond; kokkuvõte; jaanuar; intensiivne; aasta; jõulurõõm; tegutsemisaeg
