EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,5,7,2,5,6,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
7,6,5,7,2,5,6,7,6,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
7,6,5,7,2,5,6,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
7,6,5,7,2,5,6,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
7,6,5,7,2,5,6,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
7,6,5,7,2,5,6,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
7,6,5,7,2,5,6,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
7,6,5,7,2,5,6,7,7,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
7,6,5,7,2,5,6,7,6,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
7,6,5,7,2,5,6,7,6,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
7,6,5,7,2,5,6,7,6,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
