EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,10,5,6,6,7,8,8,7,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
6,10,5,6,6,7,8,8,7,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
6,10,5,6,6,7,8,8,9,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
6,10,5,6,6,7,8,8,8,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
6,10,5,6,6,7,8,8,7,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
6,10,5,6,6,7,8,8,6,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
6,10,5,7,6,7,9,8,7,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
7,10,5,6,6,7,9,8,7,13,admiral; ükssilm; röövretk; heino; kadri-ann; hobune; väli; jack; riisipirukas; silver; lampjalg
7,11,5,7,6,7,9,8,7,13,admiral; ükssilm; röövretk; heino; kadri-ann; hobune; väli; jack; riisipirukas; silver; lampjalg
7,11,5,6,6,7,9,8,7,13,admiral; ükssilm; röövretk; heino; kadri-ann; hobune; väli; jack; riisipirukas; silver; lampjalg
7,9,5,7,6,8,9,7,9,13,admiral; ükssilm; röövretk; heino; kadri-ann; hobune; väli; jack; riisipirukas; silver; lampjalg
