EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,9,9,10,7,6,12,10,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
8,9,9,9,10,7,6,12,10,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
8,9,9,9,10,7,6,12,10,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
8,9,9,9,10,7,6,12,10,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
8,9,9,9,10,7,6,12,10,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
8,9,9,9,10,7,6,12,10,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
8,9,9,9,10,7,6,12,10,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
8,9,10,11,10,8,6,12,10,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
8,9,10,11,10,8,6,13,10,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
10,9,12,10,10,7,6,13,10,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; uudis; amazon; kristjan; tehnoloogia; reklaamitulu
12,10,12,10,10,9,6,13,10,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; tava; cbs; katsepolügoon; uudis; kristjan; amazon; tehnoloogia; reklaamitulu
