EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,5,10,4,8,8,9,4,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
9,9,5,10,4,8,8,9,4,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
9,9,5,10,4,8,8,9,4,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
9,9,5,10,4,8,8,9,4,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
9,9,5,10,4,8,8,9,4,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
9,9,5,10,4,8,8,9,4,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
9,9,5,10,4,8,8,9,4,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
9,9,5,10,4,8,8,9,4,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
9,9,5,10,4,8,8,9,4,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
9,9,5,10,4,8,8,9,4,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
9,9,5,10,4,8,8,9,4,13,september; muusikapala; tõnismägi; vikerraadio; muusik; klassikaline; vikerhommik; mälestus; rokkmuusika; vaikus; muusika; tõnis
