EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,3,5,4,6,7,6,8,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,6,3,5,4,6,7,6,8,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,6,3,5,4,6,7,6,8,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,6,3,5,4,6,7,6,8,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,6,3,5,4,6,7,6,8,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,6,4,5,4,6,7,6,8,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,6,4,5,4,7,7,6,8,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
8,6,5,6,4,7,7,7,8,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
5,6,5,7,2,8,6,7,8,13,soots; koolitus; taul; valgamaa; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
5,6,5,4,2,8,6,6,9,13,soots; koolitus; taul; valgamaa; kodukohvik; konkurent; ants; marika; mõis; turismitalu; piimaköök; riidaja
5,5,4,3,3,7,7,6,9,13,soots; koolitus; valgamaa; taul; kodukohvik; konkurent; ants; marika; mõis; turismitalu; piimaköök; riidaja
