EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,2,3,4,5,4,4,2,11,kraav; emajõgi; rohumaa; pumbajaam; pauts; polder; ekskavaator; maaparandaja; paisjärv
6,7,2,3,4,5,4,4,2,11,kraav; paisjärv; rohumaa; pumbajaam; pauts; polder; ekskavaator; maaparandaja; emajõgi
6,7,2,3,4,5,4,4,2,11,kraav; paisjärv; rohumaa; pumbajaam; pauts; polder; ekskavaator; maaparandaja; emajõgi
7,7,2,3,4,5,4,4,2,11,kraav; emajõgi; rohumaa; pumbajaam; pauts; polder; ekskavaator; maaparandaja; paisjärv
7,8,2,3,4,6,4,4,2,11,kraav; emajõgi; rohumaa; pumbajaam; pauts; polder; ekskavaator; maaparandaja; paisjärv
7,5,3,3,4,5,5,4,2,11,kraav; emajõgi; rohumaa; pumbajaam; pauts; polder; ekskavaator; maaparandaja; paisjärv
6,5,2,4,4,4,5,5,2,11,kraav; emajõgi; rohumaa; pumbajaam; pauts; polder; ekskavaator; maaparandaja; paisjärv
5,4,1,5,3,5,6,5,1,11,kraav; paisjärv; rohumaa; pumbajaam; pauts; polder; ekskavaator; maaparandaja; emajõgi
6,6,3,5,4,7,6,6,1,11,kraav; emajõgi; rohumaa; pumbajaam; pauts; polder; ekskavaator; maaparandaja; paisjärv
5,5,5,5,2,5,5,6,3,11,kraav; paisjärv; rohumaa; pumbajaam; pauts; polder; ekskavaator; maaparandaja; emajõgi
5,5,5,3,2,5,5,5,2,11,kraav; paisjärv; rohumaa; pumbajaam; pauts; polder; ekskavaator; maaparandaja; emajõgi
